Energy(ev),rate coefficient (1/(m3 s)),energy loss (eV/(m3 s)),computed energy loss,,Energy (eV),Rate coefficient (m3/s),Rate coefficient (m3/s)
79,2.25E-13,3.74E-12,3.42E-12,,79,8.28E-14,7.99E-14
80,2.26E-13,3.75E-12,3.43E-12,,80,8.27E-14,7.97E-14
81,2.29E-13,3.79E-12,3.46E-12,,81,8.27E-14,7.96E-14
82,2.30E-13,3.80E-12,3.48E-12,,82,8.26E-14,7.95E-14
83,2.32E-13,3.83E-12,3.50E-12,,83,8.26E-14,7.93E-14
84,2.33E-13,3.85E-12,3.51E-12,,84,8.25E-14,7.92E-14
85,2.35E-13,3.87E-12,3.53E-12,,85,8.25E-14,7.91E-14
86,2.36E-13,3.89E-12,3.55E-12,,86,8.24E-14,7.89E-14
87,2.38E-13,3.91E-12,3.57E-12,,87,8.24E-14,7.88E-14
88,2.39E-13,3.93E-12,3.58E-12,,88,8.23E-14,7.87E-14
89,2.41E-13,3.95E-12,3.60E-12,,89,8.22E-14,7.85E-14
90,2.41E-13,3.96E-12,3.61E-12,,90,8.22E-14,7.84E-14
91,2.43E-13,3.99E-12,3.63E-12,,91,8.21E-14,7.82E-14
92,2.45E-13,4.00E-12,3.65E-12,,92,8.20E-14,7.81E-14
93,2.46E-13,4.02E-12,3.66E-12,,93,8.20E-14,7.80E-14
94,2.47E-13,4.03E-12,3.68E-12,,94,8.19E-14,7.78E-14
95,2.49E-13,4.06E-12,3.70E-12,,95,8.18E-14,7.77E-14
96,2.50E-13,4.07E-12,3.70E-12,,96,8.18E-14,7.76E-14
97,2.51E-13,4.08E-12,3.73E-12,,97,8.17E-14,7.74E-14
98,2.53E-13,4.11E-12,3.74E-12,,98,8.16E-14,7.73E-14
99,2.54E-13,4.12E-12,3.75E-12,,99,8.15E-14,7.72E-14
100,2.54E-13,4.12E-12,3.75E-12,,100,8.14E-14,7.70E-14
101,2.56E-13,4.15E-12,3.78E-12,,101,8.14E-14,7.69E-14
102,2.57E-13,4.17E-12,3.79E-12,,102,8.13E-14,7.68E-14
103,2.59E-13,4.18E-12,3.81E-12,,103,8.12E-14,7.66E-14
104,2.60E-13,4.20E-12,3.82E-12,,104,8.11E-14,7.65E-14
105,2.61E-13,4.21E-12,3.84E-12,,105,8.10E-14,7.64E-14
106,2.62E-13,4.23E-12,3.85E-12,,106,8.10E-14,7.62E-14
107,2.63E-13,4.24E-12,3.86E-12,,107,8.09E-14,7.61E-14
108,2.64E-13,4.24E-12,3.87E-12,,108,8.08E-14,7.60E-14
109,2.65E-13,4.27E-12,3.89E-12,,109,8.07E-14,7.58E-14
110,2.66E-13,4.28E-12,3.90E-12,,110,8.06E-14,7.57E-14
111,2.67E-13,4.30E-12,3.91E-12,,111,8.05E-14,7.56E-14
112,2.69E-13,4.30E-12,3.92E-12,,112,8.04E-14,7.55E-14
113,2.70E-13,4.32E-12,3.93E-12,,113,8.04E-14,7.53E-14
114,2.70E-13,4.33E-12,3.95E-12,,114,8.03E-14,7.52E-14
115,2.72E-13,4.35E-12,3.96E-12,,115,8.02E-14,7.51E-14
116,2.73E-13,4.36E-12,3.97E-12,,116,8.01E-14,7.49E-14
117,2.74E-13,4.38E-12,3.98E-12,,117,8.00E-14,7.48E-14
118,2.75E-13,4.38E-12,3.99E-12,,118,7.99E-14,7.47E-14
119,2.75E-13,4.40E-12,4.00E-12,,119,7.98E-14,7.46E-14
120,2.74E-13,4.38E-12,3.99E-12,,120,7.97E-14,7.44E-14
121,2.77E-13,4.42E-12,4.02E-12,,121,7.96E-14,7.43E-14
122,2.78E-13,4.43E-12,4.03E-12,,122,7.96E-14,7.42E-14
123,2.79E-13,4.44E-12,4.04E-12,,123,7.95E-14,7.41E-14
124,2.80E-13,4.45E-12,4.05E-12,,124,7.94E-14,7.40E-14
125,2.81E-13,4.46E-12,4.06E-12,,125,7.93E-14,7.38E-14
126,2.82E-13,4.47E-12,4.07E-12,,126,7.92E-14,7.37E-14
127,2.83E-13,4.48E-12,4.08E-12,,127,7.91E-14,7.36E-14
128,2.84E-13,4.49E-12,4.09E-12,,128,7.90E-14,7.35E-14
129,2.84E-13,4.50E-12,4.10E-12,,129,7.89E-14,7.34E-14
130,2.85E-13,4.51E-12,4.11E-12,,130,7.88E-14,7.32E-14
131,2.86E-13,4.53E-12,4.12E-12,,131,7.87E-14,7.31E-14
132,2.86E-13,4.53E-12,4.12E-12,,132,7.87E-14,7.30E-14
133,2.88E-13,4.55E-12,4.14E-12,,133,7.86E-14,7.29E-14
134,2.88E-13,4.56E-12,4.15E-12,,134,7.85E-14,7.28E-14
135,2.89E-13,4.56E-12,4.16E-12,,135,7.84E-14,7.27E-14
136,2.90E-13,4.57E-12,4.17E-12,,136,7.83E-14,7.25E-14
137,2.91E-13,4.58E-12,4.18E-12,,137,7.82E-14,7.24E-14
138,2.91E-13,4.58E-12,4.18E-12,,138,7.81E-14,7.23E-14
139,2.92E-13,4.60E-12,4.19E-12,,139,7.80E-14,7.22E-14
140,2.93E-13,4.61E-12,4.19E-12,,140,7.79E-14,7.21E-14
141,2.94E-13,4.61E-12,4.21E-12,,141,7.78E-14,7.20E-14
142,2.95E-13,4.62E-12,4.22E-12,,142,7.77E-14,7.19E-14
143,2.95E-13,4.63E-12,4.22E-12,,143,7.77E-14,7.17E-14
144,2.95E-13,4.64E-12,4.22E-12,,144,7.76E-14,7.16E-14
145,2.97E-13,4.64E-12,4.24E-12,,145,7.75E-14,7.15E-14
146,2.97E-13,4.66E-12,4.25E-12,,146,7.74E-14,7.14E-14
147,2.98E-13,4.66E-12,4.25E-12,,147,7.73E-14,7.13E-14
148,2.99E-13,4.68E-12,4.26E-12,,148,7.72E-14,7.12E-14
149,2.99E-13,4.68E-12,4.27E-12,,149,7.71E-14,7.11E-14
150,2.98E-13,4.67E-12,4.26E-12,,150,7.70E-14,7.10E-14
