Ionization energy (eV): 15.581
Energy (eV)	Rate coefficient (m^3/s)
263.0	1.317454e-13
264.0	1.319527e-13
265.0	1.321594e-13
266.0	1.323657e-13
267.0	1.325715e-13
268.0	1.327769e-13
269.0	1.329819e-13
270.0	1.331864e-13
271.0	1.333905e-13
272.0	1.335942e-13
273.0	1.337977e-13
274.0	1.340007e-13
275.0	1.342036e-13
276.0	1.344057e-13
277.0	1.346073e-13
278.0	1.348086e-13
279.0	1.350095e-13
280.0	1.352099e-13
281.0	1.354097e-13
282.0	1.356093e-13
283.0	1.358086e-13
284.0	1.360072e-13
285.0	1.362055e-13
286.0	1.364036e-13
287.0	1.366014e-13
288.0	1.367988e-13
289.0	1.369959e-13
290.0	1.371926e-13
291.0	1.373889e-13
292.0	1.375848e-13
293.0	1.377805e-13
294.0	1.379760e-13
295.0	1.381712e-13
296.0	1.383660e-13
297.0	1.385605e-13
298.0	1.387549e-13
299.0	1.389489e-13
300.0	1.391426e-13
