Ionization energy (eV): 52.025
Energy (eV)	Rate coefficient (m3/s)
0.3878E-01	0.000
5.045	0.6308E-21
10.09	0.3509E-17
15.14	0.7006E-16
20.18	0.3257E-15
25.23	0.8323E-15
30.27	0.1567E-14
35.32	0.2469E-14
40.36	0.3477E-14
45.41	0.4537E-14
50.45	0.5612E-14
55.50	0.6672E-14
60.55	0.7699E-14
65.59	0.8682E-14
70.64	0.9615E-14
75.68	0.1049E-13
80.73	0.1131E-13
85.77	0.1208E-13
90.82	0.1280E-13
95.86	0.1346E-13
100.9	0.1407E-13
106.0	0.1464E-13
111.0	0.1516E-13
116.0	0.1565E-13
121.1	0.1609E-13
126.1	0.1650E-13
131.2	0.1688E-13
136.2	0.1723E-13
141.3	0.1755E-13
146.3	0.1784E-13
151.4	0.1811E-13
156.4	0.1835E-13
161.5	0.1858E-13
166.5	0.1878E-13
171.5	0.1897E-13
176.6	0.1914E-13
181.6	0.1929E-13
186.7	0.1943E-13
191.7	0.1956E-13
196.8	0.1967E-13
201.8	0.1977E-13
206.9	0.1986E-13
211.9	0.1994E-13
217.0	0.2001E-13
222.0	0.2008E-13
227.0	0.2013E-13
232.1	0.2018E-13
237.1	0.2022E-13
242.2	0.2025E-13
247.2	0.2027E-13
252.3	0.2029E-13
257.3	0.2031E-13
262.4	0.2032E-13
267.4	0.2032E-13
272.5	0.2033E-13
277.5	0.2032E-13
282.5	0.2032E-13
287.6	0.2031E-13
292.6	0.2029E-13
297.7	0.2028E-13
302.7	0.2026E-13
307.8	0.2023E-13
312.8	0.2021E-13
317.9	0.2018E-13
322.9	0.2015E-13
328.0	0.2012E-13
333.0	0.2009E-13
338.0	0.2005E-13
343.1	0.2002E-13
348.1	0.1998E-13
353.2	0.1994E-13
358.2	0.1990E-13
363.3	0.1986E-13
368.3	0.1982E-13
373.4	0.1977E-13
378.4	0.1973E-13
383.5	0.1968E-13
388.5	0.1964E-13
393.5	0.1959E-13
398.6	0.1954E-13
403.6	0.1949E-13
408.7	0.1945E-13
413.7	0.1940E-13
418.8	0.1935E-13
423.8	0.1930E-13
428.9	0.1925E-13
433.9	0.1920E-13
439.0	0.1914E-13
444.0	0.1909E-13
449.0	0.1904E-13
454.1	0.1899E-13
459.1	0.1894E-13
464.2	0.1889E-13
469.2	0.1883E-13
474.3	0.1878E-13
479.3	0.1873E-13
484.4	0.1868E-13
489.4	0.1863E-13
494.5	0.1857E-13
499.5	0.1852E-13
